MLBAMID,PlayerId,Name,Team,Age,Season,TBF,K%,Rk,IP,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1st%,30%,30c,30s,02%,02c,02s,02h,L/SO,S/SO,L/SO%,3pK,4pW,PAu,Pitu,Stru
641743,20387,Anthony Kay,TOR,26,2021,156,0.25,534,33.2,156,649,4.160256410256411,399,0.615,0.221,0.201,0.3379999999999999,0.241,0.779,0.0,0.479,0.743,0.59,0.038461538461538464,6,4,0.24358974358974358,38,19,3,7,32,0.1794871794871795,9,2,0,0,0
664948,18152,Anthony Misiewicz,SEA,26,2021,236,0.22457627,697,54.2,236,894,3.788135593220339,593,0.6629999999999999,0.214,0.206,0.298,0.282,0.7859999999999999,0.0,0.521,0.738,0.669,0.025423728813559324,6,3,0.2754237288135593,65,27,5,16,37,0.3018867924528302,4,1,0,0,0
622608,15488,Antonio Senzatela,COL,26,2021,670,0.15671642,940,156.2,672,2405,3.5788690476190474,1551,0.645,0.253,0.147,0.262,0.3379999999999999,0.747,0.0,0.481,0.8029999999999999,0.638,0.03422619047619048,23,17,0.19642857142857142,132,54,7,23,81,0.22115384615384615,16,5,0,0,0
622608,15488,Antonio Senzatela,COL,27,2022,413,0.13075061,878,92.1,414,1521,3.6739130434782608,949,0.624,0.238,0.124,0.287,0.351,0.762,0.0,0.475,0.8370000000000001,0.5870000000000001,0.03140096618357488,13,10,0.20531400966183574,85,32,3,9,45,0.16666666666666666,4,3,0,0,0
434671,3284,Aníbal Sánchez,WSN,38,2022,292,0.16438356,850,69.1,292,1232,4.219178082191781,736,0.597,0.246,0.147,0.326,0.281,0.754,0.0,0.45,0.805,0.5720000000000001,0.0684931506849315,20,13,0.22602739726027396,66,24,2,8,40,0.16666666666666666,4,5,0,0,0
605151,12918,Archie Bradley,PHI,28,2021,224,0.17857143,122,51.0,224,921,4.111607142857143,581,0.631,0.251,0.133,0.3429999999999999,0.2739999999999999,0.7490000000000001,0.0,0.472,0.823,0.616,0.03571428571428571,8,5,0.28125,63,32,1,16,24,0.4,5,2,0,0,0
547973,10233,Aroldis Chapman,NYY,33,2021,243,0.39917695,182,56.1,243,1004,4.131687242798354,610,0.608,0.272,0.289,0.267,0.172,0.728,0.0,0.442,0.604,0.584,0.08641975308641975,21,12,0.3045267489711934,74,46,1,16,81,0.16494845360824742,25,7,0,0,0
547973,10233,Aroldis Chapman,NYY,34,2022,160,0.26875,178,36.1,162,679,4.191358024691358,405,0.596,0.306,0.235,0.242,0.217,0.6940000000000001,0.0,0.414,0.662,0.5429999999999999,0.06172839506172839,10,6,0.2716049382716049,44,25,3,11,32,0.2558139534883721,8,4,0,0,0
547973,10233,Aroldis Chapman,- - -,35,2023,249,0.41365462,152,116.2,500,2018,4.036,1288,0.6393333333333334,0.297,0.29666666666666663,0.2373333333333333,0.1693333333333333,0.703,0.0,0.449,0.5786666666666668,0.5559999999999999,0.068,34,18,0.324,162,112,6,44,162,0.21359223300970873,48,12,0,0,0
605521,18251,Art Warren,CIN,29,2022,165,0.24242424,1020,36.0,165,655,3.9696969696969697,405,0.618,0.2789999999999999,0.215,0.257,0.249,0.721,0.0,0.446,0.7020000000000001,0.588,0.07272727272727272,12,6,0.32727272727272727,54,33,4,8,31,0.20512820512820512,8,5,0,0,0
